DEEP_SAMPLE_ID	44_Mm02_WEAd_C2
ORGANISM	Mus musculus
STRAIN	C57BL/6J
POOL	yes
STATUS	Photophase (Fasted)
DISEASE	healthy
BIOMATERIAL_PROVIDER	MPI Freiburg in-house colony
BIOMATERIAL_TYPE	primary tissue
CELL_TYPE	white fat cell
TISSUE_TYPE	white adipose tissue
TISSUE_DEPOT	epididymal
COLLECTION_METHOD	collagenase digestion & adipocyte purification
DONOR_ID	44_Mm02
DONOR_AGE	17
DONOR_AGE_UNIT	weeks
DONOR_HEALTH_STATUS	NA
DONOR_SEX	male
DONOR_ETHNICITY	NA
COMMENT	Pool of 10 mice. Due to ordering mistake, mice may be 17 wks of age rather than the expected 10. Only ChIP-Seq performed.
